First Name,Last Name,Affiliation 1,Second Author Name,Affiliation 2,Third Author Name,Affiliation 3,4th Author,Affiliation 4,5th Author,Affiliation 5,6th Author,Affiliation 6,Author 7,Affiliation 7,Type,Paper ID,Title,Session
Anastasis,Charalambous,Electricity Authority of Cyprus (DSO),Lenos Hadjidemetriou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Marios Polycarpou,University of Cyprus,,,,,,,,,Oral,5548,A Coordinated Voltage-Frequency Support Scheme for Storage Systems Connected to Distribution Grids,1
Charalambos A.,Charalambous,PSM Lab, University of Cyprus,Christos Melios,PSM Lab, University of Cyprus,,,,,,,,,,,Oral,0683,Challenges in designing and assessing the sheath bonding configurations of complex power cable installations serving large-scale PV energy communities located in rural or open areas,1
Georgios,Yiasoumas,FOSS Research Centre of Sustainable Energy, University of Cyprus,Venizelos Efthymiou,FOSS Research Centre of Sustainable Energy, University of Cyprus,,,,,,,,,,,Oral,6356,DATA CELLAR: Data Hub for the Creation of Energy communities at Local Level and to Advance Research on them,1
SAVVAS,PANAGI,Cyprus University of Technology,Petros Aristidou,Cyprus University of Technology,,,,,,,,,,,Oral,5725,Fast Frequency Response Implementation in Low Inertia Power Systems,1
Thales,Papazoglou,TEIK,,,,,,,,,,,,,Oral,8560,Review of the FACTS technology in the EPS of Crete,1
Antonis,Kolokasis,SVMENERGY,,,,,,,,,,,,,Oral,3908,Integration of Viable and Sustainable RES in the Cypriot Energy Market,2
Balaji Venkateswaran,Venkatasubramanian,University of Cyprus,Mathaios Panteli,University of Cyprus,,,,,,,,,,,Oral,7206,Climate-Proofing Energy Systems Through Risk-Averse Investment Planning Under Uncertainty,2
Ioannis,Kasinopoulos,ELECTRYONE AI,,,,,,,,,,,,,Oral,6712,The energy supplier of tomorrow,2
Lysandros,Tziovani,University of Cyprus,Markos Asprou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Irina Ciornei,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Lenos Hadjidemetriou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Stelios Timotheou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,,,,,Oral,6370,Long-Term Unit Commitment for the Power System of Cyprus,2
Sotiris,Kyprianou,,,,,,,,,,,,,,Oral,4898,Pathways towards zero-carbon,2
Anastasis,Charalambous,Electricity Authority of Cyprus (DSO),Lenos Hadjidemetriou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Elias Kyriakides,University of Cyprus,Marios Polycarpou,University of Cyprus,,,,,,,Poster,8238,Flexible Provision of Ancillary Services by Grid-tied Inverters,3
Chrysanthos,Charalambous,FOSS Research Centre for Sustainable Energy, University of Cyprus,Alexis Polycarpou,Frederick University,Venizelos Efthymiou,FOSS Research Centre for Sustainable Energy, University of Cyprus,George E. Georghiou,FOSS Research Centre for Sustainable Energy, University of Cyprus,,,,,,,Poster,9499,Development of an innovative hybrid AC-DC distribution system for building integrated photovoltaics and energy storage solutions,3
George,Paphitis,University of Cyprus,Mathaios Panteli,University of Cyprus,,,,,,,,,,,Poster,6920,On identifying critical components through machine learning,3
Marina,Elenkova,University of Cyprus,Markos Asprou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Lenos Hadjidemetriou,KIOS Research and Innovation Center of Excellence and Department of Electrical and Computer Engineering,Michalis Michael,Transmission System Operator of Cyprus,Christos Frangeskou,Transmission System Operator of Cyprus,Andreas Stavrou,Electricity Authority of Cyprus,Christos G. Panayiotou,,Poster,7363,Inertia Estimation of Generation Plants Under Normal Operation in the Cyprus Power System,3
Marios,Shimillas,University of Cyprus,Mathaios Panteli,University of Cyprus,,,,,,,,,,,Poster,1985,Decentralized Control System for Networked Microgrids within a Rolling Horizon Framework,3
Mehran,Jafari,Cyprus University of Technology,Gautier Bureau,Réseau de Transport d’Électricité,Marco Chiaramello,Réseau de Transport d’Électricité,Adrien Guironnet,Réseau de Transport d’Électricité,Patrick Panciatici,Réseau de Transport d’Électricité,Petros Aristidou,Cyprus University of Technology,,,Poster,4540,Modeling of Digital Controllers in Electric Power System Dynamic Studies,3
Melios,Hadjikypris,Electricity Authority of Cyprus (DSO),Georgios Kouvaros,Transmission System Operator of Cyprus,Andreas Armenakis,Distribution System Operator (EAC),,,,,,,,,Poster,1600,Assessing the dynamic performance provision of a VSC-HVDC Interconnector on the Frequency and Angle Stability of a Low Inertia Isolated Power System,3
Mohammadamin,Akbari,University of Cyprus,,,,,,,,,,,,,Poster,1474,Distribution System Resilience Assessment and Planning Under Extreme Events,3
Phivos,Therapontos,Electricity Authority of Cyprus (DSO),Rogiros Tapakis,Transmission System Operator of Cyprus,Petros Aristidou,Cyprus University of Technology,,,,,,,,,Poster,8521,Assessing the Impact of Primary Frequency Support from IBRs in Low Inertia Isolated Power Systems,3
Seyedsina,Hashemi,University of Cyprus,Mathaios Panteli1,University of Cyprus,Balaji V. Venkatasubramanian,University of Cyprus,Pierluigi Mancarella,University of Melbourne,,,,,,,Poster,9520,Cascading-driven Controlled Islanding for Enhancing the Operational Resilience of Power Grids,3
